"id","prediction_test"
1,193.423
2,28.9273333333333
6,33.5313333333333
14,249.404666666667
17,111.888333333333
20,37.8863333333333
28,172.386333333333
29,215.637
30,282.649666666667
32,134.852
34,4.7
41,66.645
45,151.193666666667
46,240.491
47,166.192333333333
49,4.08733333333334
52,76.7676666666667
59,87.8523333333333
61,75.128
62,98.8016666666667
66,260.827333333333
71,11.2991666666667
77,61.0573333333333
78,94.3943333333333
84,221.847
87,23.7903333333333
89,408.533666666667
91,481.087333333333
97,339.411666666667
100,281.508666666667
102,1.80033333333334
103,227.495333333333
105,110.824
109,7.899
111,6.972
112,6.03933333333333
121,36.9623333333333
126,105.141333333333
136,252.163333333333
137,58.554
138,19.2036666666667
141,301.251333333333
146,95.398
151,29.6623333333333
157,38.7326666666667
165,29.536
167,3.82633333333333
168,16.3576666666667
169,165.233333333333
174,333.049
191,221.365666666667
192,261.998666666667
194,267.392
196,61.5343333333333
197,236.843
217,147.977333333333
223,203.427
227,30.8416666666667
228,54.576
231,302.689
232,433.795666666667
244,552.626666666667
245,298.833666666667
248,542.192333333333
250,693.790666666667
251,157.632
252,119.194333333333
254,526.491
257,271.091666666667
259,595.439
273,132.642
274,97.2236666666667
276,60.0093333333333
279,191.371333333333
285,355.754333333333
290,401.495
292,218.908666666667
298,551.869666666667
299,183.212333333333
301,62.6643333333333
302,469.405666666667
306,4.035
310,18.785
314,5.19266666666667
318,334.898666666667
319,323.548333333333
321,177.060666666667
322,94.5033333333333
323,98.8086666666667
326,1.617
327,517.519666666667
328,190.603333333333
332,652.559666666667
335,13.266
343,179.689
344,15.5866666666667
345,199.343
348,446.341333333333
349,490.801
356,120.818
372,195.82
379,202.608
386,336.543
388,40.4266666666667
391,9.08266666666667
398,154.646333333333
408,36.303
412,280.740333333333
414,301.053
419,268.829333333333
426,409.724666666667
429,162.676
431,234.359666666667
432,209.696
440,645.181
441,151.751666666667
443,9.19666666666667
446,283.150666666667
450,25.6946666666667
451,493.521666666667
452,256.266666666667
454,132.49
456,20.8986666666667
459,393.546333333333
464,311.707
465,4.94866666666667
478,18.466
481,256.582666666667
484,796.060666666667
485,30.052
487,512.223666666667
491,140.219666666667
498,167.026333333333
499,33.369
502,126.777666666667
506,37.7773333333333
508,324.951666666667
514,4.04233333333333
516,104.099
517,147.556333333333
520,423.146333333333
523,6.424
524,1.72833333333333
526,8.70166666666667
528,32.8193333333333
529,95.6936666666667
534,100.062
541,54.083
546,327.154666666667
547,148.637666666667
559,109.58
561,218.887
567,347.094
569,3.33833333333333
570,137.827
573,31.7473333333333
574,209.753333333333
580,142.74
582,253.611666666667
594,250.265333333333
595,33.1123333333333
597,1.739
600,323.215
603,3.28333333333333
604,221.551666666667
611,357.545333333333
614,408.955333333333
615,9.44866666666667
618,230.435
620,247.849666666667
623,7.01033333333333
628,11.811
629,3.17733333333333
637,232.220333333333
638,164.109666666667
644,64.1846666666667
645,214.293333333333
666,234.327333333333
674,38.5843333333333
678,415.880333333333
679,11.1996666666667
682,316.864333333333
683,56.1056666666667
685,5.43466666666667
691,543.949
695,436.040333333333
696,149.533666666667
700,249.461
701,147.899
703,204.186
706,4.528
707,195.042333333333
709,12.309
718,207.75
719,196.155666666667
725,37.9856666666667
727,234.276
735,341.467
745,658.946333333333
747,502.542
751,105.735333333333
753,176.393
754,242.656333333333
756,7.37166666666667
759,277.136666666667
760,198.118
761,212.128333333333
764,382.724333333333
765,365.700666666667
767,296.012333333333
773,123.628666666667
775,258.250666666667
782,321.262
783,57.549
787,34.403
789,222.721
790,71.7863333333333
793,203.125
795,194.834333333333
798,13.4566666666667
800,131.681
801,93.222
804,188.240333333333
805,6.99166666666667
806,379.808333333333
808,23.8396666666667
809,18.158
812,80.1996666666667
817,187.224666666667
823,4.843
824,207.233
829,354.768333333333
835,12.1963333333333
839,176.676333333333
841,274.081666666667
845,16.4626666666667
850,255.206
853,249.984
855,512.204666666667
862,883.564666666667
864,19.1686666666667
865,298.886666666667
867,462.31
869,61.547
871,270.195666666667
874,271.983
877,194.234
884,487.632333333333
885,145.669
893,65.4806666666667
894,143.376
897,441.638666666667
904,400.874666666667
905,582.361
910,7.13133333333333
911,348.410333333333
912,14.3833333333333
918,371.885666666667
922,187.057
925,5.15133333333333
927,202.132333333333
930,110.213333333333
931,292.866333333333
933,151.179
934,308.018333333333
935,126.811333333333
936,142.394666666667
938,235.833666666667
939,34.1956666666667
948,58.0496666666667
949,117.524333333333
950,231.600333333333
951,7.508
957,350.365
965,212.385666666667
966,165.251666666667
968,162.715333333333
969,6.14933333333333
972,113.356666666667
973,62.9526666666667
979,253.185333333333
983,274.463666666667
985,11.743
991,11.1123333333333
993,231.328666666667
997,5.356
998,164.652666666667
1007,108.349666666667
1009,274.333
1014,140.267
1016,183.517333333333
1023,115.684
1025,124.515
1027,325.087
1028,228.123
1030,363.468333333333
1031,110.719
1033,91.174
1046,41.2793333333333
1050,422.753666666667
1054,21.587
1057,107.512333333333
1061,218.501666666667
1062,151.717
1066,361.299666666667
1068,413.970666666667
1069,351.746
1081,169.025
1083,218.540333333333
1084,311.017333333333
1085,181.440333333333
1094,4.31566666666667
1096,159.426666666667
1100,206.307333333333
1105,141.404
1107,774.977
1108,90.6406666666667
1116,14.029
1118,187.887666666667
1121,233.592
1128,262.515666666667
1131,98.6373333333333
1135,73.9433333333333
1136,167.608666666667
1141,85.3416666666666
1143,16.7563333333333
1144,107.928
1146,71.0956666666667
1148,266.814
1154,338.904
1156,440.692333333333
1158,346.674333333333
1160,206.968666666667
1163,331.961333333333
1164,1.95733333333333
1169,321.55
1170,449.369666666667
1171,190.281666666667
1173,202.009666666667
1174,288.212666666667
1175,83.6226666666667
1178,428.310333333333
1179,185.691
1183,29.8826666666667
1184,11.8166666666667
1185,5.35533333333333
1187,5.61266666666667
1192,205.219333333333
1195,11.107
1199,169.558333333333
1200,360.614
1202,427.543
1207,4.21166666666667
1212,466.594666666667
1214,1.739
1215,258.936
1221,216.361666666667
1226,482.779
1231,354.074666666667
1232,4.94266666666667
1233,608.665333333333
1239,136.571666666667
1243,42.0343333333333
1245,53.6016666666667
1246,465.020666666667
1247,372.755666666667
1250,427.961333333333
1255,37.3943333333333
1257,375.980333333333
1258,155.88
1261,26.159
1268,236.362333333333
1271,8.74333333333333
1274,17.519
1278,276.533333333333
1279,160.66
1283,67.7363333333333
1285,204.974
1288,140.876333333333
1291,176.933
1293,67.286
1294,106.920333333333
1296,139.553666666667
1299,177.019333333333
1300,63.0196666666667
1305,252.698
1306,596.507666666667
1308,87.3353333333334
1309,1.86866666666667
1313,522.430333333333
1318,49.0653333333333
1319,165.325333333333
1323,91.232
1327,153.248666666667
1334,143.569666666667
1336,186.288
1337,125.083333333333
1339,200.766666666667
1346,390.56
1347,44.6753333333333
1351,378.348333333333
1352,4.85133333333333
1353,34.1213333333333
1358,99.555
1365,125.23
1366,379.379666666667
1367,242.015333333333
1372,18.2073333333333
1373,27.0213333333333
1376,333.001333333333
1377,179.072333333333
1379,8.89866666666667
1387,91.0743333333333
1399,413.110333333333
1405,20.001
1407,108.444666666667
1408,209.876333333333
1412,101.902
1414,324.932333333333
1416,62.6156666666667
1420,49.8326666666667
1422,118.545666666667
1431,356.448333333333
1433,173.500333333333
1434,5.74566666666667
1436,166.754
1437,430.422
1438,5.43133333333333
1439,243.731
1450,267.641333333333
1451,353.417
1455,6.72666666666667
1457,179.250333333333
1463,8.55466666666667
1466,110.364
1474,163.960333333333
1476,564.693
1487,33.6416666666667
1490,145.785333333333
1492,184.991
1493,227.589
1495,132.688666666667
1499,27.0013333333333
1501,102.139333333333
1503,2.65933333333333
1504,155.725
1510,5.42666666666667
1512,366.248
1514,11.7523333333333
1517,87.185
1518,150.349666666667
1528,173.417333333333
1533,11.3746666666667
1534,77.4686666666667
1538,770.592666666667
1539,423.51
